,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,method,vtype,n_obs,clinton,trump,both,other,poll_type,p_clinton,n_clinton,n_respondents
41,arizona,2016-10-10,2016-10-15,5,2016-10-12,41,2,Arizona Republic/Morrison/Cronkite News ,Live Phone,Likely Voters,713.0,43.0,38.0,81.0,4.0,0,0.5308641975308642,306.59,577.53
42,arizona,2016-10-14,2016-10-14,0,2016-10-14,41,4,HighGround,Live Phone,Likely Voters,400.0,39.0,37.0,76.0,8.0,0,0.5131578947368421,156.0,304.0
43,arizona,2016-10-11,2016-10-12,1,2016-10-11,41,1,Data Orbital (R),Live Phone,Likely Voters,550.0,43.0,42.0,85.0,0.0,0,0.5058823529411764,236.5,467.5
44,arizona,2016-09-28,2016-09-30,2,2016-09-29,39,3,OH Predictive Insights (R),IVR/Live Phone,Likely Voters,718.0,42.0,42.0,84.0,1.0,0,0.5,301.56,603.12
45,arizona,2016-09-09,2016-09-29,20,2016-09-19,38,0,Ipsos/Reuters,Internet,Likely Voters,802.0,44.0,46.0,90.0,0.0,0,0.4888888888888889,352.88,721.8
46,arizona,2016-09-20,2016-09-22,2,2016-09-21,38,2,Data Orbital (R),Live Phone,Likely Voters,550.0,38.0,40.0,78.0,0.0,0,0.48717948717948717,209.0,429.0
47,arizona,2016-09-12,2016-09-14,2,2016-09-13,37,1,Insights West,Internet,Likely Voters,484.0,33.0,37.0,70.0,3.0,0,0.4714285714285714,159.72,338.8
48,arizona,2016-09-06,2016-09-08,2,2016-09-07,36,2,NBC/WSJ/Marist,Live Phone,Likely Voters,649.0,41.0,42.0,83.0,12.0,0,0.4939759036144578,266.09,538.67
50,arizona,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2026.0,46.0,45.0,91.0,0.0,1,0.5054945054945055,931.96,1843.66
52,arizona,2016-08-17,2016-08-31,14,2016-08-24,34,2,Arizona Republic/Morrison/Cronkite News ,Live Phone,Likely Voters,704.0,35.0,34.0,69.0,2.0,0,0.5072463768115942,246.4,485.76
53,arizona,2016-08-26,2016-08-28,2,2016-08-27,34,5,PPP (D-NELP) ,IVR/Online,Likely Voters,837.0,43.0,46.0,89.0,0.0,0,0.48314606741573035,359.91,744.93
54,arizona,2016-08-25,2016-08-27,2,2016-08-26,34,4,OH Predictive Insights (R),IVR/Live Phone,Likely Voters,728.0,40.0,39.0,79.0,1.0,0,0.5063291139240507,291.2,575.12
55,arizona,2016-08-18,2016-08-23,5,2016-08-20,33,5,CNN,Live Phone,Likely Voters,809.0,44.0,49.0,93.0,7.0,0,0.4731182795698925,355.96,752.37
57,arizona,2016-08-02,2016-08-05,3,2016-08-03,31,2,CBS/YouGov,Internet,Likely Voters,1095.0,42.0,44.0,86.0,9.0,0,0.4883720930232558,459.9,941.7
58,arizona,2016-06-22,2016-06-23,1,2016-06-22,25,2,PPP (D-Americans United for Change/Constitutional Responsibility Project) ,IVR/Online,Likely Voters,691.0,40.0,44.0,84.0,0.0,0,0.47619047619047616,276.4,580.44
59,arizona,2016-06-20,2016-06-20,0,2016-06-20,25,0,OH Predictive Insights (R),Automated Phone,Likely Voters,1060.0,47.0,42.0,89.0,6.0,0,0.5280898876404494,498.2,943.4
60,arizona,2016-06-11,2016-06-20,9,2016-06-15,24,2,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,Likely Voters,300.0,43.0,48.0,91.0,6.0,0,0.4725274725274725,129.0,273.0
62,arizona,2016-05-13,2016-05-15,2,2016-05-14,19,5,PPP (D),IVR/Online,Likely Voters,896.0,38.0,40.0,78.0,2.0,0,0.48717948717948717,340.48,698.88
64,arizona,2016-04-04,2016-04-11,7,2016-04-07,14,3,Behavior Research Center,Live Phone,Registered Voters,564.0,42.0,35.0,77.0,0.0,1,0.5454545454545454,236.88,434.28
67,arkansas,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,593.0,36.0,53.0,89.0,8.0,0,0.4044943820224719,213.48,527.77
68,arkansas,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,324.0,37.0,58.0,95.0,5.0,0,0.3894736842105263,119.88,307.8
69,arkansas,2016-10-18,2016-10-27,9,2016-10-22,42,5,U of Arkansas,Live Phone,Likely Voters,585.0,31.0,51.0,82.0,0.0,0,0.3780487804878049,181.35,479.7
70,arkansas,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,681.0,34.0,53.0,87.0,0.0,0,0.39080459770114945,231.54,592.47
71,arkansas,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,570.0,34.0,53.0,87.0,11.0,0,0.39080459770114945,193.8,495.9
72,arkansas,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,475.0,38.0,53.0,91.0,0.0,0,0.4175824175824176,180.5,432.25
73,arkansas,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,437.0,41.0,51.0,92.0,0.0,0,0.44565217391304346,179.17,402.04
74,arkansas,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,765.0,41.0,54.0,95.0,0.0,1,0.43157894736842106,313.65,726.75
76,arkansas,2016-06-21,2016-06-21,0,2016-06-21,25,1,Hendrix College/Talk Business,Automated Phone,Registered Voters,751.0,36.0,47.0,83.0,8.0,1,0.43373493975903615,270.36,623.33
77,colorado,2016-11-01,2016-11-02,1,2016-11-01,44,1,Magellan (R),Live Phone,Likely Voters,500.0,44.0,38.0,82.0,11.0,0,0.5365853658536586,220.0,410.0
78,colorado,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,1631.0,44.0,40.0,84.0,14.0,0,0.5238095238095238,717.64,1370.04
79,colorado,2016-10-28,2016-11-01,4,2016-10-30,43,6,Lucid/The Times-Picayune,Internet,Likely Voters,972.0,44.0,37.0,81.0,12.0,0,0.5432098765432098,427.68,787.32
80,colorado,2016-10-29,2016-10-31,2,2016-10-30,43,6,University of Denver/Ciruli,Live Phone,Likely Voters,550.0,42.0,41.0,83.0,10.0,0,0.5060240963855421,231.0,456.5
82,colorado,2016-10-30,2016-10-30,0,2016-10-30,43,6,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,952.0,45.0,44.0,89.0,7.0,0,0.5056179775280899,428.4,847.28
83,colorado,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,342.0,50.0,46.0,96.0,5.0,0,0.5208333333333334,171.0,328.32
84,colorado,2016-10-26,2016-10-28,2,2016-10-27,43,3,CBS/YouGov,Internet,Likely Voters,997.0,42.0,39.0,81.0,13.0,0,0.5185185185185185,418.74,807.57
85,colorado,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,598.0,46.0,43.0,89.0,0.0,0,0.5168539325842697,275.08,532.22
86,colorado,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,1800.0,45.0,38.0,83.0,15.0,0,0.5421686746987951,810.0,1494.0
87,colorado,2016-10-17,2016-10-24,7,2016-10-20,42,3,U Colorado Boulder,Internet,Adults,1004.0,44.0,34.0,78.0,22.0,2,0.5641025641025641,441.76,783.12
88,colorado,2016-10-20,2016-10-22,2,2016-10-21,42,4,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,1581.0,45.0,43.0,88.0,7.0,0,0.5113636363636364,711.45,1391.28
89,colorado,2016-10-10,2016-10-16,6,2016-10-13,41,3,Quinnipiac,Live Phone,Likely Voters,685.0,45.0,37.0,82.0,14.0,0,0.5487804878048781,308.25,561.7
91,colorado,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,956.0,50.0,41.0,91.0,0.0,0,0.5494505494505495,478.0,869.96
93,colorado,2016-10-12,2016-10-13,1,2016-10-12,41,2,Magellan (R),Live Phone,Likely Voters,500.0,40.0,35.0,75.0,19.0,0,0.5333333333333333,200.0,375.0
94,colorado,2016-10-12,2016-10-13,1,2016-10-12,41,2,Gravis Marketing/Breitbart,IVR/Online,Registered Voters,1226.0,44.0,39.0,83.0,8.0,1,0.5301204819277109,539.44,1017.58
95,colorado,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,710.0,45.0,45.0,90.0,0.0,0,0.5,319.5,639.0
96,colorado,2016-10-03,2016-10-04,1,2016-10-03,40,0,Gravis Marketing/Breitbart,IVR/Online,Registered Voters,1246.0,40.0,40.0,80.0,13.0,1,0.5,498.4,996.8
97,colorado,2016-09-29,2016-10-02,3,2016-09-30,39,4,Monmouth University,Live Phone,Likely Voters,400.0,49.0,38.0,87.0,11.0,0,0.5632183908045977,196.0,348.0
98,colorado,2016-09-27,2016-09-29,2,2016-09-28,39,2,Keating (D),Live Phone,Likely Voters,602.0,44.0,33.0,77.0,17.0,0,0.5714285714285714,264.88,463.54
99,colorado,2016-09-27,2016-09-28,1,2016-09-27,39,1,PPP (D-Vote Vets Action Fund),IVR/Online,Likely Voters,694.0,46.0,40.0,86.0,8.0,0,0.5348837209302325,319.24,596.84
101,colorado,2016-09-20,2016-09-25,5,2016-09-22,38,3,CNN,Live Phone,Likely Voters,784.0,41.0,42.0,83.0,16.0,0,0.4939759036144578,321.44,650.72
103,colorado,2016-09-21,2016-09-23,2,2016-09-22,38,3,CBS/YouGov,Internet,Likely Voters,991.0,40.0,39.0,79.0,11.0,0,0.5063291139240507,396.4,782.89
104,colorado,2016-09-13,2016-09-21,8,2016-09-17,37,5,Quinnipiac,Live Phone,Likely Voters,644.0,44.0,42.0,86.0,12.0,0,0.5116279069767442,283.36,553.84
106,colorado,2016-09-14,2016-09-18,4,2016-09-16,37,4,Franklin and Marshall College/Colorado Mesa University,Live Phone/Online,Likely Voters,350.0,44.0,35.0,79.0,14.0,0,0.5569620253164557,154.0,276.5
108,colorado,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,563.0,40.0,43.0,83.0,0.0,0,0.4819277108433735,225.2,467.29
109,colorado,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2428.0,46.0,44.0,90.0,0.0,1,0.5111111111111111,1116.88,2185.2
111,colorado,2016-08-29,2016-08-31,2,2016-08-30,35,1,Magellan (R),Live Phone,Likely Voters,500.0,41.0,36.0,77.0,17.0,0,0.5324675324675324,205.0,385.0
112,colorado,2016-08-09,2016-08-16,7,2016-08-12,32,4,Quinnipiac,Live Phone,Likely Voters,830.0,49.0,39.0,88.0,4.0,0,0.5568181818181818,406.7,730.4
114,colorado,2016-08-04,2016-08-10,6,2016-08-07,31,6,NBC/WSJ/Marist,Live Phone,Registered Voters,899.0,46.0,32.0,78.0,15.0,1,0.5897435897435898,413.54,701.22
116,colorado,2016-07-09,2016-07-12,3,2016-07-10,27,6,FOX,Live Phone,Registered Voters,600.0,44.0,34.0,78.0,11.0,1,0.5641025641025641,264.0,468.0
118,colorado,2016-07-09,2016-07-12,3,2016-07-10,27,6,Monmouth University,Live Phone,Likely Voters,404.0,48.0,35.0,83.0,11.0,0,0.5783132530120482,193.92,335.32
119,colorado,2016-07-05,2016-07-11,6,2016-07-08,27,4,NBC/WSJ/Marist,Live Phone,Registered Voters,794.0,43.0,35.0,78.0,21.0,1,0.5512820512820513,341.42,619.32
121,colorado,2016-07-07,2016-07-09,2,2016-07-08,27,4,Harper (R),IVR/Live Phone,Likely Voters,500.0,45.0,38.0,83.0,14.0,0,0.5421686746987951,225.0,415.0
122,colorado,2016-07-07,2016-07-08,1,2016-07-07,27,3,Gravis Marketing,Automated Phone,Registered Voters,1313.0,43.0,41.0,84.0,16.0,1,0.5119047619047619,564.59,1102.92
124,colorado,2016-06-21,2016-06-24,3,2016-06-22,25,2,CBS/YouGov,Internet,Likely Voters,996.0,40.0,39.0,79.0,9.0,0,0.5063291139240507,398.4,786.84
126,connecticut,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,753.0,52.0,38.0,90.0,9.0,0,0.5777777777777777,391.56,677.7
127,connecticut,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,326.0,54.0,43.0,97.0,3.0,0,0.5567010309278351,176.04,316.22
128,connecticut,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,640.0,51.0,36.0,87.0,0.0,0,0.5862068965517241,326.4,556.8
129,connecticut,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,614.0,51.0,36.0,87.0,11.0,0,0.5862068965517241,313.14,534.18
130,connecticut,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,506.0,53.0,35.0,88.0,0.0,0,0.6022727272727273,268.18,445.28
131,connecticut,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,674.0,47.0,37.0,84.0,0.0,0,0.5595238095238095,316.78,566.16
132,connecticut,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,1053.0,51.0,39.0,90.0,0.0,1,0.5666666666666667,537.03,947.7
134,connecticut,2016-06-01,2016-06-05,4,2016-06-03,22,4,Quinnipiac,Live Phone,Registered Voters,1030.0,45.0,38.0,83.0,3.0,1,0.5421686746987951,463.5,854.9
135,connecticut,2016-04-10,2016-04-11,1,2016-04-10,14,6,Emerson College Polling Society,Automated Phone,Likely Voters,1043.0,48.0,40.0,88.0,0.0,0,0.5454545454545454,500.64,917.84
137,delaware,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,397.0,50.0,36.0,86.0,10.0,0,0.5813953488372093,198.5,341.42
138,delaware,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,308.0,55.0,42.0,97.0,3.0,0,0.5670103092783505,169.4,298.76
139,delaware,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,581.0,53.0,34.0,87.0,11.0,0,0.6091954022988506,307.93,505.47
140,delaware,2016-09-16,2016-09-28,12,2016-09-22,38,3,University of Delaware/PSRAI,Live Phone,Likely Voters,762.0,51.0,30.0,81.0,9.0,0,0.6296296296296297,388.62,617.22
141,delaware,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,637.0,50.0,36.0,86.0,0.0,1,0.5813953488372093,318.5,547.82
143,delaware,2016-07-20,2016-07-24,4,2016-07-22,29,4,Fairleigh Dickinson/Delaware News Journal,Live Phone,Registered Voters,715.0,42.0,32.0,74.0,14.0,1,0.5675675675675675,300.3,529.1
144,georgia,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,2722.0,45.0,45.0,90.0,0.0,0,0.5,1224.9,2449.8
145,georgia,2016-10-30,2016-11-01,2,2016-10-31,44,0,NBC/WSJ/Marist,Live Phone,Likely Voters,707.0,46.0,47.0,93.0,6.0,0,0.4946236559139785,325.22,657.51
147,georgia,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,365.0,45.0,50.0,95.0,6.0,0,0.47368421052631576,164.25,346.75
148,georgia,2016-10-25,2016-10-27,2,2016-10-26,43,2,SurveyUSA/11Alive,IVR/Online,Likely Voters,594.0,42.0,49.0,91.0,0.0,0,0.46153846153846156,249.48,540.54
149,georgia,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,861.0,43.0,48.0,91.0,0.0,0,0.4725274725274725,370.23,783.51
150,georgia,2016-10-20,2016-10-26,6,2016-10-23,42,6,Quinnipiac,Live Phone,Likely Voters,707.0,43.0,44.0,87.0,0.0,0,0.4942528735632184,304.01,615.09
152,georgia,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,2567.0,44.0,46.0,90.0,0.0,0,0.4888888888888889,1129.48,2310.3
153,georgia,2016-10-20,2016-10-20,0,2016-10-20,42,3,Opinion Savvy/Fox 5 Atlanta,IVR/Online,Likely Voters,570.0,46.0,50.0,96.0,0.0,0,0.4791666666666667,262.2,547.2
154,georgia,2016-10-20,2016-10-20,0,2016-10-20,42,3,Landmark (R),IVR/Live Phone,Likely Voters,600.0,43.0,47.0,90.0,0.0,0,0.4777777777777778,258.0,540.0
155,georgia,2016-10-17,2016-10-20,3,2016-10-18,42,1,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,Likely Voters,839.0,42.0,44.0,86.0,2.0,0,0.4883720930232558,352.38,721.54
156,georgia,2016-10-17,2016-10-18,1,2016-10-17,42,0,Lucid/The Times-Picayune,Internet,Likely Voters,807.0,44.0,40.0,84.0,1.0,0,0.5238095238095238,355.08,677.88
157,georgia,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,886.0,48.0,45.0,93.0,0.0,0,0.5161290322580645,425.28,823.98
159,georgia,2016-10-11,2016-10-12,1,2016-10-11,41,1,Landmark (R),IVR/Live Phone,Likely Voters,1400.0,42.0,48.0,90.0,0.0,0,0.4666666666666667,588.0,1260.0
160,georgia,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,583.0,43.0,48.0,91.0,0.0,0,0.4725274725274725,250.69,530.53
161,georgia,2016-09-21,2016-09-22,1,2016-09-21,38,2,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Live Phone,Likely Voters,600.0,43.0,47.0,90.0,0.0,0,0.4777777777777778,258.0,540.0
162,georgia,2016-09-13,2016-09-21,8,2016-09-17,37,5,Quinnipiac,Live Phone,Likely Voters,638.0,40.0,47.0,87.0,0.0,0,0.45977011494252873,255.2,555.06
164,georgia,2016-09-15,2016-09-18,3,2016-09-16,37,4,Monmouth University,Live Phone,Likely Voters,401.0,42.0,45.0,87.0,1.0,0,0.4827586206896552,168.42,348.87
165,georgia,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,890.0,40.0,48.0,88.0,0.0,0,0.45454545454545453,356.0,783.2
166,georgia,2016-09-14,2016-09-14,0,2016-09-14,37,2,Opinion Savvy/Fox 5 Atlanta,IVR/Online,Likely Voters,568.0,42.0,46.0,88.0,0.0,0,0.4772727272727273,238.56,499.84
167,georgia,2016-09-06,2016-09-08,2,2016-09-07,36,2,NBC/WSJ/Marist,Live Phone,Likely Voters,625.0,43.0,46.0,89.0,8.0,0,0.48314606741573035,268.75,556.25
169,georgia,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2034.0,46.0,46.0,92.0,0.0,1,0.5,935.64,1871.28
171,georgia,2016-08-17,2016-08-17,0,2016-08-17,33,2,Opinion Savvy/Fox 5 Atlanta,IVR/Online,Likely Voters,730.0,43.0,43.0,86.0,0.0,0,0.5,313.9,627.8
172,georgia,2016-08-10,2016-08-12,2,2016-08-11,32,3,CBS/YouGov,Internet,Likely Voters,988.0,41.0,45.0,86.0,4.0,0,0.47674418604651164,405.08,849.68
173,georgia,2016-08-04,2016-08-08,4,2016-08-06,31,5,Gravis Marketing,IVR/Online,Registered Voters,1604.0,44.0,45.0,89.0,11.0,1,0.4943820224719101,705.76,1427.56
175,georgia,2016-08-01,2016-08-04,3,2016-08-02,31,1,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,Registered Voters,847.0,44.0,40.0,84.0,10.0,1,0.5238095238095238,372.68,711.48
177,georgia,2016-08-01,2016-08-01,0,2016-08-01,31,0,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,Likely Voters,787.0,46.0,46.0,92.0,1.0,0,0.5,362.02,724.04
178,georgia,2016-07-29,2016-07-31,2,2016-07-30,30,5,SurveyUSA/TEGNA,IVR/Online,Likely Voters,628.0,42.0,46.0,88.0,2.0,0,0.4772727272727273,263.76,552.64
179,georgia,2016-07-24,2016-07-24,0,2016-07-24,29,6,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,Likely Voters,500.0,44.0,45.0,89.0,2.0,0,0.4943820224719101,220.0,445.0
180,georgia,2016-05-27,2016-05-30,3,2016-05-28,21,5,PPP (D),IVR/Online,Likely Voters,724.0,38.0,45.0,83.0,2.0,0,0.4578313253012048,275.12,600.92
182,georgia,2016-05-15,2016-05-15,0,2016-05-15,19,6,Opinion Savvy/Fox 5 Atlanta,IVR/Online,Likely Voters,587.0,41.0,44.0,85.0,10.0,0,0.4823529411764706,240.67,498.95
183,georgia,2016-05-09,2016-05-12,3,2016-05-10,19,1,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,Registered Voters,822.0,41.0,45.0,86.0,8.0,1,0.47674418604651164,337.02,706.92
